"CMS Certification Number (CCN)","Provider Name","Provider Address",City/Town,State,"ZIP Code","Telephone Number","Provider SSA County Code",County/Parish,"Ownership Type","Number of Certified Beds","Average Number of Residents per Day","Average Number of Residents per Day Footnote","Provider Type","Provider Resides in Hospital","Legal Business Name","Date First Approved to Provide Medicare and Medicaid Services","Affiliated Entity Name","Affiliated Entity ID","Continuing Care Retirement Community","Special Focus Status","Abuse Icon","Most Recent Health Inspection More Than 2 Years Ago","Provider Changed Ownership in Last 12 Months","With a Resident and Family Council","Automatic Sprinkler Systems in All Required Areas","Overall Rating","Overall Rating Footnote","Health Inspection Rating","Health Inspection Rating Footnote","QM Rating","QM Rating Footnote","Long-Stay QM Rating","Long-Stay QM Rating Footnote","Short-Stay QM Rating","Short-Stay QM Rating Footnote","Staffing Rating","Staffing Rating Footnote","Reported Staffing Footnote","Physical Therapist Staffing Footnote","Reported Nurse Aide Staffing Hours per Resident per Day","Reported LPN Staffing Hours per Resident per Day","Reported RN Staffing Hours per Resident per Day","Reported Licensed Staffing Hours per Resident per Day","Reported Total Nurse Staffing Hours per Resident per Day","Total number of nurse staff hours per resident per day on the weekend","Registered Nurse hours per resident per day on the weekend","Reported Physical Therapist Staffing Hours per Resident Per Day","Total nursing staff turnover","Total nursing staff turnover footnote","Registered Nurse turnover","Registered Nurse turnover footnote","Number of administrators who have left the nursing home","Administrator turnover footnote","Case-Mix Nurse Aide Staffing Hours per Resident per Day","Case-Mix LPN Staffing Hours per Resident per Day","Case-Mix RN Staffing Hours per Resident per Day","Case-Mix Total Nurse Staffing Hours per Resident per Day","Adjusted Nurse Aide Staffing Hours per Resident per Day","Adjusted LPN Staffing Hours per Resident per Day","Adjusted RN Staffing Hours per Resident per Day","Adjusted Total Nurse Staffing Hours per Resident per Day","Adjusted Weekend Total Nurse Staffing Hours per Resident per Day","Rating Cycle 1 Standard Survey Health Date","Rating Cycle 1 Total Number of Health Deficiencies","Rating Cycle 1 Number of Standard Health Deficiencies","Rating Cycle 1 Number of Complaint Health Deficiencies","Rating Cycle 1 Health Deficiency Score","Rating Cycle 1 Number of Health Revisits","Rating Cycle 1 Health Revisit Score","Rating Cycle 1 Total Health Score","Rating Cycle 2 Standard Health Survey Date","Rating Cycle 2 Total Number of Health Deficiencies","Rating Cycle 2 Number of Standard Health Deficiencies","Rating Cycle 2 Number of Complaint Health Deficiencies","Rating Cycle 2 Health Deficiency Score","Rating Cycle 2 Number of Health Revisits","Rating Cycle 2 Health Revisit Score","Rating Cycle 2 Total Health Score","Rating Cycle 3 Standard Health Survey Date","Rating Cycle 3 Total Number of Health Deficiencies","Rating Cycle 3 Number of Standard Health Deficiencies","Rating Cycle 3 Number of Complaint Health Deficiencies","Rating Cycle 3 Health Deficiency Score","Rating Cycle 3 Number of Health Revisits","Rating Cycle 3 Health Revisit Score","Rating Cycle 3 Total Health Score","Total Weighted Health Survey Score","Number of Facility Reported Incidents","Number of Substantiated Complaints","Number of Citations from Infection Control Inspections","Number of Fines","Total Amount of Fines in Dollars","Number of Payment Denials","Total Number of Penalties",Location,Latitude,Longitude,"Geocoding Footnote","Processing Date"
425067,"RESORTS AT BEAUFORT","11 TODD DRIVE",BEAUFORT,SC,29901,8435248911,060,Beaufort,"For profit - Limited Liability company",170,78.1,,"Medicare and Medicaid",N,"RESORTS AT BEAUFORT LLC",1975-12-01,"THE ROSENBERG FAMILY",685,N,,N,N,N,Resident,Yes,2,,1,,5,,5,,5,,4,,,,2.56840,1.03414,0.47760,1.51174,4.08014,3.30807,0.22309,0.13529,60.0,,37.5,,0,,2.12575,0.64239,0.28524,3.05338,2.46147,1.18801,0.63093,4.21197,3.41496,2023-02-09,6,6,0,36,1,0,36,2021-05-07,4,1,3,261,1,0,261,2019-03-27,6,4,2,166,1,0,166,132.667,0,2,,2,204629.75,0,2,"11 TODD DRIVE,BEAUFORT,SC,29901",32.4048,-80.682,,2024-06-01
425068,"WHITE OAK MANOR - COLUMBIA","3001 BEECHAVEN ROAD",COLUMBIA,SC,29204,8037824363,390,Richland,"For profit - Corporation",120,110.5,,"Medicare and Medicaid",N,"WHITE OAK MANOR INC",1970-02-01,"WHITE OAK MANAGEMENT",564,N,,N,N,N,Resident,Yes,4,,4,,4,,3,,5,,2,,,,1.92488,1.04848,0.31833,1.36681,3.29169,2.80992,0.13243,0.04218,41.7,,50.0,,0,,1.94305,0.67881,0.30545,2.92730,2.01820,1.13987,0.39270,3.54440,3.02564,2022-07-26,2,2,0,16,1,0,16,2021-04-21,4,4,0,28,1,0,28,2019-08-29,0,0,0,0,0,0,0,17.333,0,0,,1,9750.00,0,1,"3001 BEECHAVEN ROAD,COLUMBIA,SC,29204",34.0304,-80.997,,2024-06-01
425070,"MYRTLE BEACH MANOR","9547 HIGHWAY 17, NORTH","MYRTLE BEACH",SC,29572,8434495283,250,Horry,"For profit - Limited Liability company",60,31.7,,Medicare,N,"SNH SC TENANT LLC",1970-07-09,"PHOENIX SENIOR LIVING",402,N,,N,N,N,Both,Yes,2,,2,,3,,1,,4,,3,,,,2.23704,1.70267,0.51598,2.21864,4.45568,4.01116,0.34008,0.09146,69.6,,87.5,,1,,2.05513,0.72291,0.34826,3.12630,2.21757,1.73816,0.55828,4.49237,4.04419,2022-09-07,2,2,0,12,1,0,12,2021-07-14,8,8,0,60,2,30,90,2020-02-07,3,3,0,16,1,0,16,38.667,0,0,0,1,8875.00,0,1,"9547 HIGHWAY 17, NORTH,MYRTLE BEACH,SC,29572",33.7681,-78.804,,2024-06-01
425071,"NHC HEALTHCARE - CLINTON","304 JACOBS HIGHWAY",CLINTON,SC,29325,8648332550,290,Laurens,"For profit - Limited Liability company",131,127.9,,"Medicare and Medicaid",N,"NHC HEALTHCARE-CLINTON LLC",1970-08-05,"NATIONAL HEALTHCARE CORPORATION",364,N,,N,N,N,Resident,Yes,5,,5,,5,,4,,5,,4,,,,2.02703,0.73697,0.54054,1.27752,3.30455,2.80866,0.22965,0.02830,47.1,,8.3,,0,,1.91863,0.64766,0.29292,2.85921,2.15234,0.83975,0.69536,3.64298,3.09631,2023-08-31,2,2,0,8,1,0,8,2021-12-22,2,2,0,8,1,0,8,2020-01-30,0,0,0,0,0,0,0,6.667,0,0,,0,0.00,0,0,"304 JACOBS HIGHWAY,CLINTON,SC,29325",34.4519,-81.875,,2024-06-01
425074,"C M TUCKER JR NURSING CARE CENTER FEWELL AND STONE","2200 HARDEN STREET",COLUMBIA,SC,29203,8037375300,390,Richland,"Government - State",252,41.3,,"Medicare and Medicaid",N,"SOUTH CAROLINA DEPT OF MENTAL HEALTH ACCOUNTING OFFICE",1970-09-25,,,N,,Y,N,N,Both,Yes,1,,1,,4,,4,,,2,4,,,,2.95430,1.12342,2.53998,3.66340,6.61770,5.67457,1.65689,0.00000,,6,,6,,6,2.07651,0.61011,0.27393,2.96056,2.89844,1.35886,3.49390,7.04571,6.04158,2024-01-12,14,14,2,197,1,0,197,2021-10-13,5,4,1,139,1,0,139,2020-01-09,6,5,1,44,1,0,44,152.167,4,0,,4,194550.90,0,4,"2200 HARDEN STREET,COLUMBIA,SC,29203",34.0240,-81.027,,2024-06-01
425075,"LILA DOYLE POST ACUTE","101 LILA DOYLE DRIVE",SENECA,SC,29672,8648857675,360,Oconee,"For profit - Limited Liability company",120,85.1,,"Medicare and Medicaid",N,"KINGSTON FALLS HEALTHCARE LLC",1971-01-01,"THE ENSIGN GROUP",507,N,,Y,N,N,Resident,Yes,2,,2,,3,,4,,3,,2,,,,2.25102,1.15786,0.36406,1.52192,3.77294,3.38911,0.18079,0.05985,73.0,,69.2,,1,,2.08691,0.68320,0.31725,3.08736,2.19746,1.25069,0.43241,3.85198,3.46010,2023-07-13,7,5,2,99,1,0,99,2021-12-02,0,0,0,0,0,0,0,2020-08-13,0,0,0,0,0,0,0,49.500,1,0,,1,9317.75,0,1,"101 LILA DOYLE DRIVE,SENECA,SC,29672",34.6946,-82.985,,2024-06-01
425077,"WHITE OAK MANOR - NEWBERRY","2555 KINARD STREET",NEWBERRY,SC,29108,8032766060,350,Newberry,"For profit - Corporation",146,100.0,,"Medicare and Medicaid",N,"WHITE OAK MANOR INC",1971-06-25,"WHITE OAK MANAGEMENT",564,N,,N,N,N,Resident,Yes,4,,4,,4,,5,,3,,4,,,,2.40371,1.09208,0.56609,1.65816,4.06188,3.52712,0.26430,0.02537,47.2,,18.8,,0,,2.10965,0.67188,0.29319,3.07473,2.32121,1.19951,0.72753,4.16401,3.61580,2023-07-12,1,1,0,16,1,0,16,2021-06-10,3,3,0,12,1,0,12,2019-12-12,2,2,0,8,1,0,8,13.333,0,0,0,0,0.00,0,0,"2555 KINARD STREET,NEWBERRY,SC,29108",34.2883,-81.606,,2024-06-01
425078,"WESLEY COMMONS HEALTH AND REHABILITATION CENTER","1110 MARSHALL ROAD",GREENWOOD,SC,29646,8642277250,230,Greenwood,"Non profit - Corporation",80,74.2,,"Medicare and Medicaid",N,"WESLEY COMMONS",1980-12-01,,,Y,,N,N,N,Both,Yes,3,,3,,2,,2,,3,,4,,,,2.63098,1.04854,0.64782,1.69636,4.32735,3.63571,0.32209,0.07729,59.6,,57.9,,0,,1.99752,0.65821,0.33499,2.99071,2.68332,1.17562,0.72870,4.56077,3.83183,2023-04-14,3,2,1,28,1,0,28,2021-09-30,2,2,0,8,1,0,8,2019-09-26,5,5,0,44,1,0,44,24.000,1,0,,2,15171.00,0,2,"1110 MARSHALL ROAD,GREENWOOD,SC,29646",34.1813,-82.129,,2024-06-01
425080,"KERSHAWHEALTH KARESH LONG TERM CARE","40 LINDSAY LANE",CAMDEN,SC,29020,8035728999,270,Kershaw,"Government - County",96,104.4,,"Medicare and Medicaid",N,"Legal Business Name Not Available",1972-01-01,,,N,,N,Y,N,Both,Yes,5,,4,,3,,1,,5,,5,,,,2.61451,0.78588,1.08475,1.87063,4.48514,3.85561,0.74046,0.04931,34.8,,36.7,,0,,2.00080,0.66836,0.31899,2.98816,2.66214,0.86773,1.28135,4.73111,4.06706,2022-04-01,1,0,1,20,0,0,20,2020-11-04,1,1,0,4,1,0,4,2019-05-24,4,4,0,20,1,0,20,14.667,1,0,1,1,19460.00,0,1,"40 LINDSAY LANE,CAMDEN,SC,29020",34.3130,-80.606,22,2024-06-01
425081,"SALUDA NURSING CENTER","581 NEWBERRY HIGHWAY",SALUDA,SC,29138,8644452146,400,Saluda,"Government - County",176,147.8,,"Medicare and Medicaid",N,"SALUDA NURSING CENTER",1971-08-16,,,N,,N,N,N,Resident,Yes,5,,3,,5,,5,,4,,5,,,,2.88577,0.50962,0.91572,1.42534,4.31111,3.85144,0.55451,0.02874,31.0,,18.2,,0,,2.30516,0.72049,0.32964,3.35529,2.55038,0.52199,1.04675,4.04994,3.61813,2022-07-21,4,4,0,16,1,0,16,2021-05-13,2,0,2,40,0,0,40,2019-03-30,5,5,0,72,1,0,72,33.333,4,0,0,1,10065.25,0,1,"581 NEWBERRY HIGHWAY,SALUDA,SC,29138",34.0210,-81.768,,2024-06-01
425082,"RIVERSIDE HEALTH AND REHAB","2375 BAKER HOSP BLVD",CHARLESTON,SC,29405,8437442750,090,Charleston,"For profit - Limited Liability company",160,139.3,,"Medicare and Medicaid",N,"THI OF SOUTH CAROLINA AT CHARLESTON, LLC",1979-09-01,"FUNDAMENTAL HEALTHCARE",231,N,,N,N,N,Resident,Yes,1,,1,,3,,4,,2,,2,,,,1.74236,1.07264,0.30380,1.37644,3.11880,2.66545,0.20965,0.03231,54.4,,25.0,,3,,1.86630,0.69058,0.37585,2.93273,1.90196,1.14625,0.30457,3.35201,2.86476,2024-03-15,10,10,0,173,1,0,173,2022-03-04,10,4,10,60,1,0,60,2020-09-11,6,6,0,28,1,0,28,111.167,1,2,,2,6752.80,1,3,"2375 BAKER HOSP BLVD,CHARLESTON,SC,29405",32.8594,-79.988,22,2024-06-01
425084,"MANNA POST ACUTE","716 E CEDAR ROCK ST",PICKENS,SC,29671,8648784739,380,Pickens,"For profit - Corporation",130,115.3,,"Medicare and Medicaid",N,"PICKENS SKILLED NURSING, LLC",1972-02-26,"PROVIDENCE GROUP",429,N,,N,N,N,Both,Yes,3,,3,,3,,3,,2,,4,,,,2.02868,0.88212,0.76879,1.65091,3.67959,3.13815,0.28597,0.04643,41.7,,42.9,,0,,2.05615,0.71523,0.32243,3.09382,2.01003,0.91017,0.89844,3.74883,3.19720,2023-09-08,6,6,0,24,1,0,24,2021-12-30,2,2,0,12,1,0,12,2020-02-27,11,11,0,60,1,0,60,26.000,0,0,,0,0.00,0,0,"716 E CEDAR ROCK ST,PICKENS,SC,29671",34.8838,-82.695,,2024-06-01
425085,"PRUITTHEALTH- ORANGEBURG","755 WHITMAN STREET SE",ORANGEBURG,SC,29115,8035347036,370,Orangeburg,"For profit - Corporation",88,80.3,,"Medicare and Medicaid",N,"PRUITTHEALTH - ORANGEBURG, LLC",1979-04-15,PRUITTHEALTH,434,N,,N,N,N,Resident,Yes,2,,2,,4,,2,,5,,2,,,,2.06264,0.86974,0.26730,1.13704,3.19968,2.54582,0.19237,0.01650,42.5,,40.0,,0,,1.98982,0.68734,0.29691,2.97406,2.11180,0.93382,0.33923,3.39115,2.69817,2023-12-13,7,7,0,56,2,28,84,2021-10-21,13,13,0,72,1,0,72,2019-09-11,0,0,0,0,0,0,0,66.000,0,0,0,2,15343.25,0,2,"755 WHITMAN STREET SE,ORANGEBURG,SC,29115",33.4920,-80.855,,2024-06-01
425086,"LORIS REHAB AND NURSING CENTER, LLC","3620 STEVENS STREET",LORIS,SC,29569,8437167106,250,Horry,"For profit - Corporation",88,73.3,,"Medicare and Medicaid",N,"LORIS REHAB AND NURSING CENTER LLC",1971-12-06,,,N,,N,N,N,Resident,Yes,4,,4,,4,,4,,4,,2,,,,2.44146,0.79824,0.29983,1.09806,3.53952,2.94258,0.18877,0.06366,50.7,,40.0,,0,,2.21994,0.73075,0.36753,3.31821,2.24054,0.80613,0.30740,3.36226,2.79521,2022-12-13,4,4,0,28,1,0,28,2021-11-04,0,0,0,0,0,0,0,2020-02-26,1,0,1,4,0,0,4,14.667,1,0,0,0,0.00,0,0,"3620 STEVENS STREET,LORIS,SC,29569",34.0568,-78.897,,2024-06-01
425088,"WHITE OAK MANOR - ROCK HILL","1915 EBENEZER RD","ROCK HILL",SC,29732,8033668155,450,York,"For profit - Corporation",140,134.3,,"Medicare and Medicaid",N,"WHITE OAK MANOR INC",1972-06-15,"WHITE OAK MANAGEMENT",564,N,,N,N,N,Resident,Yes,1,,1,,3,,2,,4,,4,,,,2.28277,1.09213,0.55617,1.64830,3.93107,3.41750,0.26618,0.05284,40.5,,26.3,,2,,2.02122,0.65134,0.29474,2.96730,2.30087,1.23739,0.71103,4.17580,3.63026,2023-12-12,8,5,3,127,1,0,127,2021-09-29,9,9,0,56,1,0,56,2020-01-08,0,0,0,0,0,0,0,82.167,6,0,,1,7445.75,0,1,"1915 EBENEZER RD,ROCK HILL,SC,29732",34.9624,-81.050,,2024-06-01
425089,"WHITE OAK MANOR - YORK","111 SOUTH CONGRESS STREET",YORK,SC,29745,8036840035,450,York,"For profit - Corporation",109,95.8,,"Medicare and Medicaid",N,"WHITE OAK MANOR INC",1972-06-23,"WHITE OAK MANAGEMENT",564,N,,N,N,N,Resident,Yes,3,,3,,2,,3,,2,,3,,,,2.03470,1.02409,0.43729,1.46138,3.49609,2.97837,0.14397,0.03936,72.4,,58.8,,1,,2.04444,0.64388,0.26904,2.95736,2.02755,1.17375,0.61246,3.72622,3.17443,2023-10-06,3,3,0,20,1,0,20,2021-10-08,4,3,1,48,1,0,48,2019-09-26,3,3,0,24,1,0,24,30.000,3,0,,1,7345.00,0,1,"111 SOUTH CONGRESS STREET,YORK,SC,29745",34.9920,-81.243,,2024-06-01
425090,"MAGNOLIA MANOR - GREENVILLE","411 ANSEL ST",GREENVILLE,SC,29601,8642325368,220,Greenville,"For profit - Limited Liability company",99,91.1,,"Medicare and Medicaid",N,"THI OF SOUTH CAROLINA AT GREENVILLE, LLC",1972-09-01,"FUNDAMENTAL HEALTHCARE",231,N,,N,Y,N,Resident,Yes,2,,2,,2,,3,,1,,2,,,,1.81616,0.87946,0.33612,1.21557,3.03173,2.70084,0.14077,0.01772,55.1,,37.5,,0,,2.00139,0.68724,0.31820,3.00683,1.84870,0.94438,0.39803,3.17814,2.83126,2022-05-06,1,1,0,16,1,0,16,2020-10-01,7,7,0,44,1,0,44,2019-03-09,20,16,3,144,1,0,144,46.667,3,0,1,2,2285.28,0,2,"411 ANSEL ST,GREENVILLE,SC,29601",34.8391,-82.411,,2024-06-01
425091,"MAGNOLIA MANOR - SPARTANBURG","375 SERPENTINE DRIVE",SPARTANBURG,SC,29303,8645850218,410,Spartanburg,"For profit - Corporation",95,83.0,,"Medicare and Medicaid",N,"THI OF SOUTH CAROLINA AT SPARTANBURG, LLC",1978-04-01,"FUNDAMENTAL HEALTHCARE",231,N,,N,Y,N,Resident,Yes,1,,1,,2,,3,,1,,1,,,,1.85928,0.77683,0.43022,1.20706,3.06633,2.68878,0.24393,0.01831,67.8,,72.2,,3,,2.01956,0.66901,0.33688,3.02545,1.87556,0.85691,0.48122,3.19462,2.80128,2022-03-18,4,2,2,20,1,0,20,2020-10-15,12,6,6,282,1,0,282,2019-07-24,14,14,0,80,1,0,80,117.333,13,1,0,2,29586.31,0,2,"375 SERPENTINE DRIVE,SPARTANBURG,SC,29303",34.9673,-81.936,,2024-06-01
425093,"CARLYLE SENIOR CARE OF FORK","1727 BUCK SWAMP ROAD",FORK,SC,29543,8434646212,160,Dillon,"For profit - Limited Liability company",111,104.2,,"Medicare and Medicaid",N,"CARLYLE SENIOR CARE OF FORK,  LLC",1972-11-01,"CARLYLE SENIOR CARE",599,N,,N,N,N,Resident,Yes,3,,4,,1,,1,,2,,2,,,,1.84880,1.26777,0.28363,1.55140,3.40020,3.05131,0.16477,0.02758,49.1,,63.6,,0,,1.94958,0.66802,0.28157,2.89917,1.93194,1.40052,0.37958,3.69677,3.31744,2023-08-23,7,7,6,36,1,0,36,2021-06-10,0,0,0,0,0,0,0,2019-11-15,4,3,1,16,1,0,16,20.667,1,0,0,0,0.00,0,0,"1727 BUCK SWAMP ROAD,FORK,SC,29543",34.2709,-79.243,,2024-06-01
425095,"PEACHTREE CENTRE","1434 N LIMESTONE ST",GAFFNEY,SC,29340,8644872717,100,Cherokee,"For profit - Limited Liability company",111,97.7,,"Medicare and Medicaid",N,"PEACHTREE OPERATING GROUP, LLC",1973-03-19,"AHAVA HEALTHCARE",17,N,,N,N,N,Resident,Yes,3,,3,,2,,4,,1,,2,,,,2.18840,1.19944,0.25367,1.45312,3.64151,3.14489,0.10076,0.02878,61.1,,66.7,,0,,1.91200,0.70734,0.32688,2.94621,2.33176,1.25140,0.29242,3.89591,3.36459,2023-12-29,8,8,0,48,1,0,48,2021-12-03,2,0,2,40,0,0,40,2020-01-23,2,1,1,8,1,0,8,38.667,1,1,,2,8555.89,0,2,"1434 N LIMESTONE ST,GAFFNEY,SC,29340",35.0879,-81.638,,2024-06-01
425096,"VALLEY FALLS TERRACE","400 LOCUST GROVE ROAD",SPARTANBURG,SC,29303,8645030377,410,Spartanburg,"For profit - Individual",88,80.2,,"Medicare and Medicaid",N,"SPARTANBURG HEALTH CARE LLC",1973-07-05,"FUNDAMENTAL HEALTHCARE",231,N,,N,Y,N,Resident,Yes,3,,4,,1,,1,,1,,2,,,,1.89077,1.05847,0.37604,1.43451,3.32528,2.95819,0.12104,0.02813,65.5,,66.7,,0,,2.00688,0.68983,0.33968,3.03639,1.91938,1.13233,0.41715,3.45193,3.07085,2022-03-09,5,5,0,20,2,10,30,2020-10-01,1,0,1,4,0,0,4,2019-03-22,4,4,0,32,1,0,32,21.667,1,0,0,1,650.00,0,1,"400 LOCUST GROVE ROAD,SPARTANBURG,SC,29303",35.0016,-81.985,,2024-06-01
425097,"PRUITTHEALTH- BARNWELL","31 WREN STREET",BARNWELL,SC,29812,8032595547,050,Barnwell,"For profit - Corporation",44,41.5,,"Medicare and Medicaid",N,"PRUITTHEALTH - BARNWELL, LLC",1973-06-13,PRUITTHEALTH,434,N,,N,N,N,Resident,Yes,5,,4,,5,,5,,5,,5,,,,2.16658,0.82582,0.74198,1.56780,3.73438,3.04978,0.43549,0.01895,37.8,,14.3,,0,,1.89826,0.63326,0.30338,2.83490,2.32522,0.96237,0.92157,4.15214,3.39095,2022-08-25,1,1,0,4,1,0,4,2021-04-30,0,0,0,0,0,0,0,2019-02-22,8,8,0,40,1,0,40,8.667,0,0,0,0,0.00,0,0,"31 WREN STREET,BARNWELL,SC,29812",33.2558,-81.364,,2024-06-01
425100,"THE HERITAGE AT LOWMAN REHAB AND HEALTHCARE","201 FORTRESS DRIVE","WHITE ROCK",SC,29177,8037323000,390,Richland,"Non profit - Corporation",176,131.4,,"Medicare and Medicaid",N,"LUTHERAN HOMES OF SC, INC.",1974-03-01,,,Y,,N,N,N,None,Yes,3,,3,,3,,4,,2,,4,,,,2.33765,0.69683,0.54424,1.24107,3.57872,3.24958,0.60227,0.04330,41.8,,35.0,,0,,2.01282,0.63663,0.26786,2.91731,2.36603,0.80776,0.76559,3.86666,3.51103,2022-07-19,4,2,1,24,1,0,24,2021-01-27,5,5,0,28,1,0,28,2019-06-28,7,7,0,76,1,0,76,34.000,1,0,1,0,0.00,0,0,"201 FORTRESS DRIVE,WHITE ROCK,SC,29177",34.1417,-81.270,,2024-06-01
425102,"WEST VILLAGE POST ACUTE","8 NORTH TEXAS AVENUE",GREENVILLE,SC,29611,8642951331,220,Greenville,"For profit - Corporation",132,125.8,,"Medicare and Medicaid",N,"GREENVILLE SKILLED NURSING, LLC",1975-09-02,"PROVIDENCE GROUP",429,N,,Y,N,N,Resident,Yes,1,,1,,3,,3,,3,,1,,,,1.82047,1.02854,0.23653,1.26507,3.08554,2.73622,0.18283,0.02624,62.3,,90.0,,,6,1.91061,0.68909,0.29699,2.89669,1.94114,1.10150,0.30010,3.35754,2.97742,2022-10-13,13,12,2,84,1,0,84,2021-04-30,8,6,2,36,2,18,54,2019-02-14,8,8,0,100,2,50,150,85.000,2,1,,1,47169.87,0,1,"8 NORTH TEXAS AVENUE,GREENVILLE,SC,29611",34.8377,-82.441,,2024-06-01
425103,"JOHN EDWARD HARTER NURSING CENTER","185 REVOLUTIONARY TRAIL",FAIRFAX,SC,29827,8036323334,020,Allendale,"Government - County",44,25.4,,"Medicare and Medicaid",Y,"ALLENDALE COUNTY HOSPITAL BOARD",1976-02-01,,,N,,N,N,N,Resident,Yes,5,,5,,4,,4,,,2,4,,,,3.37965,0.69848,0.75096,1.44944,4.82909,4.46303,0.78404,0.00000,,6,,6,,6,2.02029,0.61586,0.26894,2.90508,3.40802,0.83698,1.05218,5.23960,4.84242,2024-03-29,0,0,0,0,0,0,0,2022-01-27,0,0,0,0,0,0,0,2020-09-23,0,0,0,0,0,0,0,0.000,0,0,,0,0.00,0,0,"185 REVOLUTIONARY TRAIL,FAIRFAX,SC,29827",32.9663,-81.253,,2024-06-01
425104,"PRUITTHEALTH- BAMBERG","439 NORTH STREET",BAMBERG,SC,29003,8032457525,040,Bamberg,"For profit - Individual",88,84.4,,"Medicare and Medicaid",N,"PRUITTHEALTH - BAMBERG, LLC",1976-03-15,PRUITTHEALTH,434,N,,Y,N,N,Resident,Yes,2,,2,,4,,5,,3,,4,,,,1.94066,0.82715,0.56730,1.39445,3.33512,2.42740,0.33972,0.01547,40.5,,30.8,,1,,1.85674,0.61779,0.27012,2.74465,2.12933,0.98807,0.79137,3.83014,2.78769,2024-01-26,5,2,3,56,1,0,56,2021-10-28,6,6,0,28,1,0,28,2020-01-10,7,7,0,44,1,0,44,44.667,4,0,,3,37219.00,0,3,"439 NORTH STREET,BAMBERG,SC,29003",33.3087,-81.029,,2024-06-01
425105,"MILLENNIUM POST ACUTE REHABILITATION","2416 SUNSET BOULEVARD","WEST COLUMBIA",SC,29169,8037968024,310,Lexington,"For profit - Limited Liability company",132,116.1,,"Medicare and Medicaid",N,"STONEY HILL HEALTHCARE, INC.",1976-05-01,"THE ENSIGN GROUP",507,N,,N,N,N,Resident,Yes,3,,3,,5,,5,,4,,1,,,,2.40701,1.34109,0.45796,1.79905,4.20605,3.52382,0.31828,0.11725,67.3,,60.0,,0,,2.29467,0.89992,0.98677,4.18136,2.13698,1.09975,0.17488,3.17065,2.65636,2024-01-26,6,5,1,24,2,12,36,2022-02-10,8,5,3,52,1,0,52,2020-02-13,2,2,0,4,1,0,4,36.000,3,1,0,0,0.00,0,0,"2416 SUNSET BOULEVARD,WEST COLUMBIA,SC,29169",34.0029,-81.107,,2024-06-01
425106,"HEARTLAND HEALTH CARE CENTER - GREENVILLE EAST","601 SULPHUR SPRINGS ROAD",GREENVILLE,SC,29611,8642462721,220,Greenville,"Non profit - Other",132,107.8,,"Medicare and Medicaid",N,"Legal Business Name Not Available",1976-09-01,"HCR MANORCARE",253,N,,N,N,N,Resident,Yes,4,,3,,5,,5,,5,,3,,,,1.85185,0.75000,0.58678,1.33678,3.18863,2.93564,0.38611,0.03894,41.7,,36.4,,1,,2.01030,0.65050,0.27500,2.93579,1.87667,0.85086,0.80403,3.42350,3.15187,2023-05-31,2,2,0,8,1,0,8,2021-12-03,5,5,5,56,1,0,56,2020-01-09,9,8,1,64,1,0,64,33.333,0,1,0,2,46425.61,0,2,"601 SULPHUR SPRINGS ROAD,GREENVILLE,SC,29611",34.8178,-82.314,,2024-06-01
425107,"SUMTER EAST HEALTH & REHABILITATION CENTER","880 CAROLINA AVENUE",SUMTER,SC,29150,8037755394,420,Sumter,"For profit - Limited Liability company",176,146.3,,"Medicare and Medicaid",N,"SUMTER EAST FACILITY LLC",1977-04-01,,,N,,N,N,N,Resident,Yes,1,,1,,2,,2,,2,,1,,,,1.86620,1.01550,0.24558,1.26108,3.12729,2.74343,0.22421,0.04678,,6,,6,,6,1.98339,0.67893,0.29678,2.95910,1.91688,1.10382,0.31181,3.33119,2.92230,2022-10-20,15,12,3,84,2,42,126,2021-10-27,5,1,4,32,1,0,32,2019-10-31,5,5,0,24,1,0,24,77.667,5,1,,6,31954.00,1,7,"880 CAROLINA AVENUE,SUMTER,SC,29150",33.9446,-80.352,,2024-06-01
425109,"NHC HEALTHCARE - SUMTER","1018 N GUIGNARD",SUMTER,SC,29150,8037735567,420,Sumter,"For profit - Corporation",138,129.9,,"Medicare and Medicaid",N,"NATIONAL HEALTH CORPORATION",1977-11-01,"NATIONAL HEALTHCARE CORPORATION",364,N,,N,N,N,Resident,Yes,3,,3,,4,,5,,4,,4,,,,2.10722,0.62370,0.46886,1.09256,3.19979,2.85682,0.34142,0.07311,42.5,,44.4,,0,,1.81946,0.62889,0.26948,2.71784,2.35945,0.73189,0.65559,3.71098,3.31322,2023-06-15,3,3,0,24,1,0,24,2021-11-12,5,5,1,32,1,0,32,2020-02-21,0,0,0,0,0,0,0,22.667,1,0,,0,0.00,0,0,"1018 N GUIGNARD,SUMTER,SC,29150",33.9441,-80.378,,2024-06-01
